userid,state,weixin,android,ios,first_platform,last_platform,change
11519,new,0,0,1,ios,None,False
11523,new,0,2,0,android,android,False
11524,normal,5,0,0,weixin,weixin,False
11525,normal,4,0,0,weixin,weixin,False
11526,normal,0,2,0,android,android,False
11516,new,6,0,0,weixin,weixin,False
11543,normal,0,0,2,ios,ios,False
11538,new,0,0,2,ios,ios,False
11549,new,0,1,0,android,None,False
11551,new,0,0,1,ios,None,False
11550,normal,3,0,0,weixin,weixin,False
11555,normal,13,0,0,weixin,weixin,False
11558,normal,5,0,0,weixin,weixin,False
11570,new,0,1,0,android,None,False
11578,normal,10,0,0,weixin,weixin,False
11597,new,3,0,0,weixin,weixin,False
11600,normal,0,4,0,android,android,False
11602,new,0,4,0,android,android,False
11611,normal,0,2,0,android,android,False
11612,new,3,0,0,weixin,weixin,False
11613,normal,1,0,0,weixin,None,False
11464,normal,0,0,1,ios,None,False
11615,normal,22,0,0,weixin,weixin,False
11619,new,0,0,2,ios,ios,False
11621,normal,1,0,0,weixin,None,False
10425,new,0,4,0,android,android,False
11629,normal,3,0,0,weixin,weixin,False
11653,normal,0,2,0,android,android,False
11618,normal,0,0,5,ios,ios,False
11671,new,0,1,0,android,None,False
11677,new,0,0,2,ios,ios,False
11680,new,1,0,0,weixin,None,False
11682,normal,0,0,2,ios,ios,False
11683,normal,0,2,0,android,android,False
11582,normal,1,0,0,weixin,None,False
11690,new,0,1,0,android,None,False
11691,new,0,2,0,android,android,False
9378,new,1,0,0,weixin,None,False
10842,None,1,0,0,weixin,None,False
8370,None,1,0,0,weixin,None,False
10200,None,1,0,0,weixin,None,False
11114,None,1,0,0,weixin,None,False
3534,None,1,0,0,weixin,None,False
11213,None,7,0,0,weixin,weixin,False
10699,None,1,0,0,weixin,None,False
11225,None,1,0,0,weixin,None,False
2894,None,1,0,0,weixin,None,False
11286,None,1,0,0,weixin,None,False
629,None,2,0,0,weixin,weixin,False
8663,normal,8,0,0,weixin,weixin,False
356,new,0,0,1,ios,None,False
357,normal,1,0,0,weixin,None,False
1370,normal,1,0,0,weixin,None,False
1385,new,3,0,0,weixin,weixin,False
1425,new,7,0,0,weixin,weixin,False
1436,new,0,6,0,android,android,False
1450,normal,16,0,0,weixin,weixin,False
1466,normal,7,0,0,weixin,weixin,False
1478,normal,1,0,0,weixin,None,False
1507,normal,17,0,0,weixin,weixin,False
1533,new,1,0,0,weixin,None,False
1613,new,1,0,0,weixin,None,False
1622,normal,5,0,0,weixin,weixin,False
1637,normal,1,0,0,weixin,None,False
1656,normal,12,0,0,weixin,weixin,False
1664,normal,3,0,0,weixin,weixin,False
1680,new,1,0,0,weixin,None,False
1382,normal,1,0,0,weixin,None,False
1725,normal,1,0,0,weixin,None,False
1780,new,2,0,0,weixin,weixin,False
1257,normal,3,0,0,weixin,weixin,False
1794,normal,1,0,0,weixin,None,False
1805,normal,1,0,0,weixin,None,False
1808,normal,1,0,0,weixin,None,False
1859,normal,1,0,0,weixin,None,False
1903,normal,18,0,0,weixin,weixin,False
1909,disabled,1,0,0,weixin,None,False
1931,normal,1,0,0,weixin,None,False
1952,new,2,0,0,weixin,weixin,False
1958,normal,1,0,0,weixin,None,False
1978,normal,1,0,0,weixin,None,False
1995,normal,1,3,0,android,android,True
2053,normal,81,0,0,weixin,weixin,False
2072,normal,2,0,0,weixin,weixin,False
2084,normal,4,0,0,weixin,weixin,False
2087,new,1,0,0,weixin,None,False
2101,new,8,0,0,weixin,weixin,False
2123,new,1,0,0,weixin,None,False
2135,normal,1,0,0,weixin,None,False
1150,normal,1,0,0,weixin,None,False
2158,new,1,0,0,weixin,None,False
2186,new,3,0,0,weixin,weixin,False
2204,normal,13,0,0,weixin,weixin,False
2218,normal,1,0,0,weixin,None,False
2244,normal,1,0,0,weixin,None,False
2250,disabled,1,0,0,weixin,None,False
2270,normal,3,0,0,weixin,weixin,False
847,normal,10,0,0,weixin,weixin,False
2310,normal,1,0,0,weixin,None,False
2318,normal,4,0,0,weixin,weixin,False
2358,normal,2,0,0,weixin,weixin,False
195,new,5,0,0,weixin,weixin,False
2381,normal,3,0,0,weixin,weixin,False
2399,normal,1,0,0,weixin,None,False
2404,normal,2,0,0,weixin,weixin,False
2464,normal,1,0,0,weixin,None,False
2467,new,1,0,0,weixin,None,False
2484,normal,1,0,0,weixin,None,False
2487,normal,2,0,0,weixin,weixin,False
2490,normal,2,0,0,weixin,weixin,False
2500,new,1,0,0,weixin,None,False
2521,normal,7,0,0,weixin,weixin,False
2524,normal,2,0,0,weixin,weixin,False
2527,normal,8,2,0,weixin,weixin,True
2539,normal,12,0,0,weixin,weixin,False
2568,new,1,0,0,weixin,None,False
2597,normal,0,0,1,ios,None,False
2133,normal,3,0,0,weixin,weixin,False
2644,normal,1,0,0,weixin,None,False
2664,normal,19,0,0,weixin,weixin,False
2675,normal,3,0,0,weixin,weixin,False
2746,normal,2,0,0,weixin,weixin,False
2769,normal,2,0,0,weixin,weixin,False
2784,normal,12,0,0,weixin,weixin,False
2793,normal,3,0,0,weixin,weixin,False
2839,normal,2,0,0,weixin,weixin,False
2831,disabled,10,0,0,weixin,weixin,False
2858,normal,2,0,0,weixin,weixin,False
2866,normal,15,0,0,weixin,weixin,False
2871,normal,3,0,0,weixin,weixin,False
2877,normal,7,0,0,weixin,weixin,False
2883,normal,13,0,0,weixin,weixin,False
970,normal,3,0,0,weixin,weixin,False
2909,new,3,0,0,weixin,weixin,False
2945,normal,1,0,0,weixin,None,False
2951,normal,5,0,0,weixin,weixin,False
3002,normal,2,0,0,weixin,weixin,False
3005,normal,2,0,0,weixin,weixin,False
3007,normal,1,2,0,weixin,android,True
3025,normal,3,0,0,weixin,weixin,False
3034,normal,2,0,0,weixin,weixin,False
3050,normal,1,0,0,weixin,None,False
3053,normal,2,0,0,weixin,weixin,False
3056,normal,1,0,0,weixin,None,False
3059,normal,4,3,0,android,weixin,True
3136,new,1,0,0,weixin,None,False
3144,normal,1,0,0,weixin,None,False
3153,new,2,0,0,weixin,weixin,False
3210,new,1,0,0,weixin,None,False
3224,normal,1,0,0,weixin,None,False
