change,first_platform,last_platform,userid
False,weixin,Non,8771
False,weixin,Non,8773
False,weixin,Non,8774
False,weixin,Non,8775
False,android,Non,8776
False,weixin,Non,8777
False,weixin,Non,8781
False,weixin,Non,8785
False,weixin,Non,8787
False,weixin,Non,8789
False,weixin,Non,8791
False,weixin,Non,8792
False,weixin,Non,8794
False,weixin,Non,8795
False,weixin,Non,8796
False,weixin,Non,8797
True,ios,weixin,8803
False,weixin,Non,8804
False,weixin,Non,8807
False,weixin,Non,8808
False,weixin,Non,8810
False,weixin,Non,8811
False,weixin,Non,8812
False,weixin,Non,8813
False,weixin,Non,8815
False,weixin,Non,8817
False,weixin,Non,8818
False,weixin,Non,8822
False,weixin,Non,8823
False,weixin,Non,8826
False,weixin,Non,8828
False,weixin,Non,8829
False,weixin,Non,8835
False,weixin,Non,8836
False,weixin,Non,8837
False,weixin,Non,8838
True,android,weixin,8839
False,weixin,Non,8840
False,weixin,Non,8841
False,weixin,Non,8842
False,weixin,Non,8843
False,weixin,Non,8844
False,weixin,Non,8848
False,weixin,Non,8851
False,weixin,Non,8854
False,weixin,Non,8855
False,weixin,Non,8856
False,weixin,Non,8859
False,weixin,Non,8860
False,weixin,Non,8861
False,weixin,Non,8863
False,weixin,Non,8866
False,weixin,Non,8867
False,weixin,Non,8868
False,weixin,Non,8870
False,weixin,Non,8873
False,weixin,Non,8874
False,weixin,Non,8876
False,weixin,Non,8877
True,android,weixin,8879
False,weixin,Non,8884
False,weixin,Non,8885
False,weixin,Non,8889
False,weixin,Non,8891
False,weixin,Non,8892
False,weixin,Non,8894
False,weixin,Non,8897
True,android,weixin,8898
False,weixin,Non,8899
False,weixin,Non,8902
False,weixin,Non,8903
False,weixin,Non,8904
False,weixin,Non,8906
False,weixin,Non,8907
False,weixin,Non,8909
False,weixin,Non,8910
False,weixin,Non,8911
False,weixin,Non,8913
False,weixin,Non,8914
False,weixin,Non,8915
False,weixin,Non,8916
False,weixin,Non,8917
False,weixin,Non,8918
False,weixin,Non,8919
False,weixin,Non,8920
False,weixin,Non,8921
False,weixin,Non,8924
False,weixin,Non,8925
False,weixin,Non,8926
False,weixin,Non,8927
False,weixin,Non,8929
False,weixin,Non,8930
False,weixin,Non,8931
False,weixin,Non,8932
False,weixin,Non,8933
False,weixin,Non,8934
False,weixin,Non,8935
False,weixin,Non,8936
False,weixin,Non,8937
False,weixin,Non,8938
False,weixin,Non,8939
False,weixin,Non,8940
False,weixin,Non,8941
False,weixin,Non,8943
True,android,weixin,8944
False,weixin,Non,8947
False,weixin,Non,8948
False,weixin,Non,8951
False,weixin,Non,8952
True,ios,weixin,8954
False,weixin,Non,8955
False,weixin,Non,8958
False,weixin,Non,8959
False,weixin,Non,8963
False,weixin,Non,8964
False,weixin,Non,8965
False,weixin,Non,8967
False,weixin,Non,8968
False,weixin,Non,8969
False,weixin,Non,8970
True,ios,weixin,8971
False,weixin,Non,8973
False,weixin,Non,8975
False,weixin,Non,8977
False,weixin,Non,8979
False,weixin,Non,8980
False,weixin,Non,8981
False,weixin,Non,8982
False,weixin,Non,8983
False,weixin,Non,8984
False,weixin,Non,8986
False,weixin,Non,8987
False,weixin,Non,8988
False,weixin,Non,8989
True,android,weixin,8995
False,weixin,Non,8996
False,weixin,Non,8997
False,weixin,Non,9000
False,weixin,Non,9002
False,weixin,Non,9003
False,weixin,Non,9004
True,android,weixin,9005
False,weixin,Non,9007
False,weixin,Non,9008
False,weixin,Non,9009
False,weixin,Non,9010
False,weixin,Non,9013
False,weixin,Non,9014
False,weixin,Non,9015
True,android,weixin,9017
False,weixin,Non,9019
False,weixin,Non,9021
False,weixin,Non,9022
False,weixin,Non,9023
False,weixin,Non,9028
False,weixin,Non,9030
False,weixin,Non,9033
False,weixin,Non,9034
False,weixin,Non,9037
False,weixin,Non,9038
False,weixin,Non,9039
False,weixin,Non,9040
False,weixin,Non,9041
True,ios,weixin,9042
