"amount","initamount","customamount"
"89.00","89.00",""
"89.00","89.00",""
"70.00","69.00","70.00"
"70.00","69.00","70.00"
"100.00","150.00","100.00"
"77.00","99.00","77.00"
"89.00","89.00",""
"69.00","69.00",""
"54.00","54.00",""
"74.00","74.00",""
"114.00","114.00",""
"100.00","100.00",""
"109.00","109.00",""
"78.00","100.00","78.00"
"78.00","109.00","78.00"
"96.60","100.00","78.00"
"78.00","100.00","78.00"
"200.00","200.00",""
"78.00","109.00","78.00"
"69.00","69.00",""
"100.00","100.00",""
"109.00","109.00",""
"78.00","109.00","78.00"
"240.00","240.00",""
"78.00","109.00","78.00"
"104.00","104.00",""
"80.00","109.00","80.00"
"78.00","109.00","78.00"
"69.00","69.00",""
"78.00","99.00","78.00"
"78.00","99.00","78.00"
"100.00","100.00",""
"78.00","109.00","78.00"
"78.00","99.00","78.00"
"400.00","400.00",""
"400.00","400.00",""
"110.00","133.00","110.00"
"100.00","400.00","100.00"
"112.00","89.00",""
"170.00","190.00","170.00"
"110.00","133.00","110.00"
"95.00","94.00","95.00"
"110.00","133.00","110.00"
"95.00","94.00","95.00"
"80.00","100.00","80.00"
"100.00","125.00","90.00"
"79.00","79.00",""
"69.00","79.00","69.00"
"140.00","175.00","140.00"
"112.00","124.00","90.00"
"109.00","125.00","109.00"
"78.00","89.00","78.00"
"80.00","109.00","80.00"
"80.00","100.00","80.00"
"78.00","99.00","78.00"
"78.00","99.00","78.00"
"78.00","99.00","78.00"
"80.00","109.00","80.00"
"69.00","69.00",""
"1000.00","1082.00","1000.00"
"84.00","84.00",""
"1000.00","1048.00","1000.00"
"200.00","200.00",""
"133.34","160.00","133.34"
"78.00","99.00","78.00"
"78.00","99.00","78.00"
"78.00","109.00","78.00"
"145.00","145.00",""
"78.00","109.00","78.00"
"49.00","49.00",""
"55.60","49.00","50.00"
"280.00","205.00",""
"129.00","100.00","129.00"
"109.00","109.00",""
"440.00","500.00","440.00"
"78.00","99.00","78.00"
"70.00","99.00","70.00"
"170.00","140.00","170.00"
"55.00","54.00","55.00"
"80.00","109.00","80.00"
"1440.00","1440.00",""
"136.00","136.00",""
"136.00","136.00",""
"500.00","240.00","500.00"
"78.00","109.00","78.00"
